id,time,comp_id,job_title,job_salary,job_address,job_work_year,job_temptation,skill_set
0,2021-01-01/01/21,0,Senior Business Analyst (RQ01942),60k-60k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""database""}, {""level"": ""experience"", ""skill"": ""stata""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
1,2021-01-01/01/21,0,Senior Business Analyst (RQ01942),60k-60k,"Toronto, ON",3-5,[],"[{""level"": ""know"", ""skill"": ""relationaldatabaseconcepts""}, {""level"": ""know"", ""skill"": ""databasemanagement""}, {""level"": ""know"", ""skill"": ""python""}, {""level"": ""know"", ""skill"": ""azure""}, {""level"": ""know"", ""skill"": ""powerbi""}, {""level"": ""know"", ""skill"": ""tableau""}, {""level"": ""know"", ""skill"": ""mso365""}]"
2,2021-01-01/01/21,0,Junior Business Analyst (RQ01888),74k-74k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""sql""}, {""level"": ""experience"", ""skill"": ""digitalpublishing""}, {""level"": ""excellent"", ""skill"": ""organizational""}]"
3,2021-01-01/01/21,0,Junior Business Analyst (RQ01888),75k-75k,"Toronto, ON",3-5,[],"[{""level"": ""excellent"", ""skill"": ""interpersonal""}, {""level"": ""excellent"", ""skill"": ""communication""}, {""level"": ""excellent"", ""skill"": ""organizational""}, {""level"": ""strong"", ""skill"": ""analytical""}, {""level"": ""strong"", ""skill"": ""productmanagement""}]"
4,2021-01-01/01/21,1,"Senior Analyst, Business Continuity Management",78k-115k,"Toronto, ON",graduate,[],"[{""level"": ""experience"", ""skill"": ""analyzingdata""}, {""level"": ""strong"", ""skill"": ""excel""}, {""level"": ""experience"", ""skill"": ""projectmanagemen""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""excellent"", ""skill"": ""organizational""}, {""level"": ""strong"", ""skill"": ""analytical""}]"
5,2021-01-01/01/21,1,Business Planning Analyst,60k-60k,"Toronto, ON",graduate,[],"[{""level"": ""excellent"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""powerbi""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""understand"", ""skill"": ""research""}, {""level"": ""experience"", ""skill"": ""customerplatforms""}]"
6,2021-01-01/01/21,2,Data Scientist I (Quants),60k-60k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""experience"", ""skill"": ""stata""}, {""level"": ""strong"", ""skill"": ""powerbi""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""understand"", ""skill"": ""research""}, {""level"": ""experience"", ""skill"": ""customerplatforms""}]"
7,2021-01-01/01/21,2,Data Scientist I (Quants),60k-60k,"Toronto, ON",unlimited,[],"[{""level"": ""understand"", ""skill"": ""databasestructure""}, {""level"": ""excellent"", ""skill"": ""organizational""}, {""level"": ""experience"", ""skill"": ""studentinformationsystem""}, {""level"": ""experience"", ""skill"": ""leanmanagement""}, {""level"": ""experience"", ""skill"": ""continuousimprovement""}, {""level"": ""excellent"", ""skill"": ""written""}, {""level"": ""excellent"", ""skill"": ""verbalcommunicationskills""}]"
8,2021-01-01/01/21,2,Data Scientist I (Quants),60k-60k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""strong"", ""skill"": ""analytical""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}, {""level"": ""excellent"", ""skill"": ""communication""}, {""level"": ""excellent"", ""skill"": ""organizational""}, {""level"": ""excellent"", ""skill"": ""interpersonal""}, {""level"": ""experience"", ""skill"": ""multipleprojects""}]"
9,2021-01-01/01/21,2,Sr. Business Systems Analyst,60k-60k,"London, ON",5-7,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""strong"", ""skill"": ""problem-solving""}, {""level"": ""proficient"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""powerbi""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""understand"", ""skill"": ""research""}, {""level"": ""experience"", ""skill"": ""customerplatforms""}]"
