id,time,comp_id,job_title,job_salary,job_address,job_work_year,job_temptation,skill_set
0,2021-01-01/01/21,262,Data Scientist,80k-80k,"Toronto, ON",0-1,[],"[{""level"": ""strong"", ""skill"": ""presentation""}, {""level"": ""excellent"", ""skill"": ""communication""}, {""level"": ""familiar"", ""skill"": ""python""}, {""level"": ""familiar"", ""skill"": ""java""}]"
1,2021-01-01/01/21,10,"Applied Scientist, Synthesis Health",93k-109k,"Vancouver, BC",1-3,[],"[{""level"": ""expertise"", ""skill"": ""optimization""}, {""level"": ""familiar"", ""skill"": ""databases""}, {""level"": ""familiar"", ""skill"": ""git""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""excellent"", ""skill"": ""projectmanagement""}, {""level"": ""excellent"", ""skill"": ""agile""}, {""level"": ""strong"", ""skill"": ""communication""}]"
2,2021-01-01/01/21,10,Business Analyst,67k-72k,"Vancouver, BC",0-1,[],"[{""level"": ""strong"", ""skill"": ""presentation""}, {""level"": ""know"", ""skill"": ""research""}, {""level"": ""excellent"", ""skill"": ""communication""}, {""level"": ""excellent"", ""skill"": ""timemanagement""}, {""level"": ""strong"", ""skill"": ""slack""}, {""level"": ""excellent"", ""skill"": ""projectmanagement""}, {""level"": ""familiar"", ""skill"": ""french""}]"
3,2021-01-01/01/21,10,"Machine Learning Scientist Intern, Synthesis Health",77k-77k,"Vancouver, BC",unlimited,[],"[{""level"": ""expertise"", ""skill"": ""agile""}, {""level"": ""familiar"", ""skill"": ""python""}, {""level"": ""excellent"", ""skill"": ""projectmanagement""}, {""level"": ""excellent"", ""skill"": ""communication""}]"
4,2021-01-01/01/21,10,"Machine Learning Scientist, Synthesis Health",63k-90k,"Vancouver, BC",graduate,[],"[{""level"": ""strong"", ""skill"": ""regression""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""decisionmaking""}, {""level"": ""excellent"", ""skill"": ""projectmanagement""}, {""level"": ""excellent"", ""skill"": ""agile""}, {""level"": ""strong"", ""skill"": ""communication""}]"
1029,2021-01-01/01/21,10,"Senior Machine Learning Ops Engineer, Synthesis Health",93k-97k,"Vancouver, BC",3-5,[],"[{""level"": ""strong"", ""skill"": ""python""}, {""level"": ""proficient"", ""skill"": ""research""}, {""level"": ""know"", ""skill"": ""projectmanagement""}, {""level"": ""proficient"", ""skill"": ""agile""}, {""level"": ""exceptional"", ""skill"": ""communication""}]"
1030,2021-01-01/01/21,10,"Senior Machine Learning Scientist, Synthesis Health",93k-97k,"Vancouver, BC",1-3,[],"[{""level"": ""strong"", ""skill"": ""python""}, {""level"": ""proficient"", ""skill"": ""research""}, {""level"": ""know"", ""skill"": ""projectmanagement""}, {""level"": ""proficient"", ""skill"": ""agile""}, {""level"": ""exceptional"", ""skill"": ""communication""}]"
5,2021-01-01/01/21,544,Data Scientist,77k-97k,"Vancouver, BC",5-7,[],"[{""level"": ""exceptional"", ""skill"": ""sql""}, {""level"": ""exceptional"", ""skill"": ""python""}, {""level"": ""familiar"", ""skill"": ""git""}, {""level"": ""exceptional"", ""skill"": ""saas""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""communication""}, {""level"": ""expertise"", ""skill"": ""azure""}, {""level"": ""strong"", ""skill"": ""writing""}]"
6,2021-01-01/01/21,325,Data Scientist II,71k-98k,"Vancouver, BC",unlimited,[],"[{""level"": ""exceptional"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""writing""}]"
7,2021-01-01/01/21,20,Commercial Accounts Analyst (12 month contract),46k-66k,"Woodbridge, ON",unlimited,[],"[{""level"": ""exceptional"", ""skill"": ""python""}, {""level"": ""expertise"", ""skill"": ""sql""}, {""level"": ""familiar"", ""skill"": ""tableau""}, {""level"": ""strong"", ""skill"": ""powerpoint""}, {""level"": ""effective"", ""skill"": ""excel""}, {""level"": ""exceptional"", ""skill"": ""financial""}, {""level"": ""excellent"", ""skill"": ""writing""}, {""level"": ""excellent"", ""skill"": ""verbal""}, {""level"": ""specialist"", ""skill"": ""dataanalysis""}, {""level"": ""expertise"", ""skill"": ""databases""}, {""level"": ""strong"", ""skill"": ""decisionmaking""}]"
