skill_name,translate
access,access
agile,agile
analytics,analytics
dataanalysis,dataanalysis
javascript,javascript
aws,aws
azure,azure
businessintelligence,businessintelligence
c#,c#
communication,communication
databases,databases
datamanagement,datamanagement
visualization,visualization
datawarehouse,datawarehouse
decisionmaking,decisionmaking
english,english
excel,excel
finance,finance
french,french
git,git
hadoop,hadoop
healthcare,healthcare
interpersonal,interpersonal
java,java
leadership,leadership
marketing,marketing
matlab,matlab
sql,sql
optimization,optimization
oracle,oracle
outlook,outlook
perl,perl
php,php
presentation,presentation
productmanagement,productmanagement
projectmanagement,projectmanagement
pyspark,pyspark
python,python
qualitativeanalysis,qualitativeanalysis
r,r
research,research
riskmanagement,riskmanagement
sas,sas
sap,sap
scala,scala
scrum,scrum
slack,slack
spark,spark
spss,spss
ssas,ssas
ssis,ssis
stata,stata
tableau,tableau
writing,writing
timemanagement,timemanagement
unix,unix
vba,vba
verbalcommunicationskills,verbalcommunicationskills
visio,visio
visual,visual
