year,half_year,city,jd_count,low_p25,low_p50,low_p75,low_mean,low_std,mid_p25,mid_p50,mid_p75,mid_mean,mid_std,high_p25,high_p50,high_p75,high_mean,high_std
2021,0,"Abbotsford, BC",1,57.0,57.0,57.0,57.0,0.0,57.0,57.0,57.0,57.0,0.0,57.0,57.0,57.0,57.0,0.0
2021,0,"BC Place Stadium, BC",1,45.0,45.0,45.0,45.0,0.0,50.0,50.0,50.0,50.0,0.0,55.0,55.0,55.0,55.0,0.0
2021,0,"Barrie, ON",1,74.0,74.0,74.0,74.0,0.0,77.5,77.5,77.5,77.5,0.0,81.0,81.0,81.0,81.0,0.0
2021,0,"Bedford, NS",1,90.0,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,0.0
2021,0,"Brampton, ON",13,59.0,62.0,83.0,68.53846153846153,26.129853248138055,62.0,73.5,83.0,74.42307692307692,24.389073846231287,64.0,83.0,89.0,80.3076923076923,24.77695372513409
2021,0,"Burnaby, BC",58,56.0,69.0,78.75,70.91379310344827,24.6414886787978,68.375,78.5,90.375,80.64655172413794,23.668027256545397,75.0,89.0,103.5,90.37931034482759,26.106279130553002
2021,0,"Caledon, ON",1,83.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,83.0,0.0
2021,0,"Calgary, AB",2,57.25,60.5,63.75,60.5,9.192388155425117,61.375,64.25,67.125,64.25,8.131727983645296,65.5,68.0,70.5,68.0,7.0710678118654755
2021,0,Canada,7,55.5,70.0,74.5,66.14285714285714,12.902565267271097,72.25,77.0,84.75,77.42857142857143,9.020479345303531,83.0,90.0,97.0,88.71428571428571,10.57850471024908
2021,0,"Charlottetown, PE",2,62.0,64.0,66.0,64.0,5.656854249492381,69.375,71.75,74.125,71.75,6.7175144212722016,76.75,79.5,82.25,79.5,7.7781745930520225
2021,0,"Concord, ON",1,83.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,83.0,0.0
2021,0,"Coquitlam, BC",1,55.0,55.0,55.0,55.0,0.0,62.0,62.0,62.0,62.0,0.0,69.0,69.0,69.0,69.0,0.0
2021,0,"Delta, BC",8,67.75,75.0,77.75,72.25,16.85018016012207,72.5,77.5,83.375,79.9375,18.307760844594217,74.0,82.5,93.5,87.625,22.21285020625931
2021,0,"Dorval, QC",1,63.0,63.0,63.0,63.0,0.0,66.0,66.0,66.0,66.0,0.0,69.0,69.0,69.0,69.0,0.0
2021,0,"Edmonton, AB",9,54.0,68.0,74.0,63.333333333333336,15.676415406590884,62.5,68.0,83.5,71.27777777777777,17.002042360976652,68.0,71.0,93.0,79.22222222222223,19.136207681890486
2021,0,"Etobicoke, ON",8,76.5,82.0,87.75,80.875,12.91109710951895,81.25,84.75,100.875,87.125,15.108535903351362,85.5,88.0,105.0,93.375,19.404988313023313
2021,0,"Greater Toronto Area, ON",3,47.5,55.0,65.0,56.666666666666664,17.55942292142123,51.25,60.0,73.75,63.333333333333336,22.684429314693666,55.0,65.0,82.5,70.0,27.83882181415011
2021,0,"Halifax, NS",2,44.0,49.0,54.0,49.0,14.142135623730951,50.0,53.5,57.0,53.5,9.899494936611665,56.0,58.0,60.0,58.0,5.656854249492381
